Tank Name,Tank DPM,Dmg,Reload,Pen,Velo,Acc,Aim,Dispresion,DeP/Elev,Speed,Traverse,Power,P/W,Weight,Health,VR,Stat17,Stat18,Stat19,Stat20,Stat21
M56 Scorpion,,,VIII,Skorpion,,2410,490,12.20s,246,920,0.30,2.10s,0.16 / 0.26 / 0.26,-7° / +14°,60 / 20,30°/s,650,17.13,38t,1150,360
T6 Medium,,,III,M2 Medium,,2283,175,4.60s,38,620,0.55,2.30s,0.16 / 0.23 / 0.23,-20° / +40°,43 / 18,40°/s,400,19.31,20.7t,375,370
Kampfpanzer 07 P(E),No data
M40/M43,,,VIII,M40/M43,,1174,900,46.00s,52,440,0.77,5.30s,0.47 / 0.34 / 0.34,-5° / +55°,38.6 / 10,22°/s,500,13.54,36.9t,400,290
AT 15,,,VIII,AT 15,,2800,280,6.00s,220,878,0.30,1.70s,0.10 / 0.18 / 0.18,-10° / +10°,25 / 12,28°/s,720,11.64,61.8t,1500,370
Object 257,,,X,Obj. 277,,2352,490,12.50s,265,1030,0.38,2.70s,0.08 / 0.16 / 0.16,-5.5° / +15.5°,55 / 15,32°/s,950,17.37,54.7t,2200,400
SU-100Y,,,VIII,SU-101,,2095,440,12.60s,258,850,0.42,2.50s,0.12 / 0.12 / 0.12,-3° / +18.3°,54 / 18,25°/s,620,17.78,34.9t,1300,360
AMX 13 (FL 11),,,IX,AMX 13 90,,1953,240,22.00s,205,1163,0.38,2.50s,0.12 / 0.12 / 0.12,-6° / +12°,68 / 23,40°/s,470,32.20,14.6t,1400,380
Peerless,,,IX,Peerless,,1738,390,34.00s,240,862,0.42,3.40s,0.11 / 0.24 / 0.24,-8° / +11.7°,35 / 12,30°/s,580,12.86,45.1t,1750,380
FV304,,,VI,FV304,,2000,450,13.50s,28,270,0.70,4.80s,0.42 / 0.38 / 0.38,-1.5° / +45°,72.4 / 14,22°/s,500,24.51,20.4t,315,255
KV-3,,,VII,KV-3,,1902,390,12.30s,175,780,0.44,3.10s,0.16 / 0.23 / 0.23,-7° / +24°,32 / 11,25°/s,820,12.07,67.9t,1450,340
Valiant,,,VII,Valiant,,1571,110,4.20s,91,619,0.41,2.50s,0.10 / 0.20 / 0.20,-12.5° / +20°,19 / 10,35°/s,210,7.75,27.1t,800,340
Aufklärungspanzer Panther,,,VII,JPanther,,2341,320,8.20s,208,950,0.34,1.70s,0.08 / 0.20 / 0.20,-8° / +14°,55 / 14,35°/s,760,16.61,45.8t,900,350
IS-3-II,,,VII,IS-2-II,,2250,300,8.00s,221,980,0.38,2.30s,0.08 / 0.16 / 0.16,-7° / +20°,38 / 15,34°/s,750,14.81,50.7t,1650,350
T25 Pilot Number 1,,,VIII,T25 Pilot 1,,1846,240,7.80s,208,920,0.36,2.00s,0.10 / 0.13 / 0.13,-10° / +20°,55 / 20,43°/s,530,14.30,37.1t,1450,390
Crusader 5.5-in. SP,,,VI,Crusader,,2045,75,2.20s,126,892,0.37,2.00s,0.10 / 0.19 / 0.19,-12° / +20°,63 / 22,45°/s,520,26.66,19.5t,800,370
Type 97 Te-Ke,,,IV,Type 95,,2000,110,3.30s,71,453,0.40,2.30s,0.10 / 0.18 / 0.18,-12° / +20°,22 / 10,30°/s,290,10.01,29t,670,340
T92 HMC,,,VIII,T92,,2000,150,4.50s,189,1219,0.38,1.80s,0.05 / 0.08 / 0.08,-10° / +20°,60 / 25,55°/s,600,35.90,16.7t,1000,400
AM 39 Gendron-Somua,,,II,AM Gendron,,771,27,2.10s,46,950,0.42,1.80s,0.10 / 0.10 / 0.15,-12° / +15°,50 / 30,34°/s,200,32.79,6.1t,280,280
Object 452K,,,X,Obj. 452K,,2400,560,14.00s,260,1000,0.38,2.50s,0.08 / 0.18 / 0.18,-7° / +20°,40 / 17,30°/s,880,16.09,54.7t,2400,390
BZ-58,,,IX,BZ-58-2,,2066,520,15.10s,250,1050,0.37,3.00s,0.15 / 0.19 / 0.19,-8° / +20°,35 / 15,30°/s,650,13.08,49.7t,1900,380
ELC EVEN 90 FL,,,VIII,ELC EVEN 90,,1131,220,30.00s,175,760,0.38,2.90s,0.16 / 0.19 / 0.19,-9° / +13°,70 / 20,45°/s,160,24.90,6.4t,900,380
M46 Patton,,,X,M48 Patton,,2802,390,8.35s,268,1478,0.35,1.80s,0.06 / 0.07 / 0.07,-9° / +19°,48 / 20,55°/s,960,20.25,47.4t,2000,420
SU-85B,,,X,SU-85I,,2133,160,4.50s,119,800,0.42,2.30s,0.08 / 0.22 / 0.22,-5° / +25°,50 / 14,48°/s,300,13.56,22.1t,500,330
AMX 50 Foch,,,IX,AMX 30,,2690,390,8.70s,248,1100,0.37,2.30s,0.12 / 0.14 / 0.14,-8° / +20°,65 / 23,36°/s,720,22.36,32.2t,1650,390
KV-122,,,V,KV-1,,2368,450,11.40s,61,515,0.57,2.90s,0.16 / 0.25 / 0.25,-7° / +25°,34 / 10,24°/s,550,11.24,48.9t,840,310
Type 62,,,V,Type 61,,2634,360,8.20s,258,1185,0.38,2.10s,0.10 / 0.10 / 0.10,-10° / +13°,45 / 23,55°/s,770,22.19,34.7t,1800,400
Pz.Kpfw. 38 (t) n.A.,No data
M46 Patton FL,,,X,M48 Patton,,2802,390,8.35s,268,1478,0.35,1.80s,0.06 / 0.07 / 0.07,-9° / +19°,48 / 20,55°/s,960,20.25,47.4t,2000,420
Conqueror Gun Carriage,,,X,S. Conqueror,,2500,400,9.60s,259,1067,0.33,2.00s,0.10 / 0.12 / 0.12,-10° / +15°,34.3 / 12,26°/s,1120,14.60,76.7t,2300,400
Emil II,,,IX,Emil II,,2200,440,30.00s,252,1080,0.42,2.80s,0.18 / 0.25 / 0.25,-12° / +8°,40 / 12,30°/s,550,15.03,36.6t,1800,380
P26/40,,,IV,P26/40,,1571,110,4.20s,97,637,0.41,2.20s,0.12 / 0.23 / 0.23,-10° / +23°,40 / 15,46°/s,400,15.94,25.1t,570,330
M103,,,IX,M103M,,2602,360,8.30s,258,1250,0.38,2.20s,0.10 / 0.22 / 0.22,-8° / +15°,34 / 12,27°/s,950,17.30,54.9t,1950,390
E 77,,,IX,E 77,,2156,460,12.80s,246,1080,0.39,2.50s,0.12 / 0.24 / 0.24,-8° / +15°,40 / 16,30°/s,1010,15.61,64.7t,1800,390
Leopard 120 Verbessert,,,XI,Leopard 120,,2839,440,9.30s,284,1400,0.32,1.60s,0.10 / 0.19 / 0.19,-9° / +20°,65 / 23,48°/s,900,21.08,42.7t,1950,410
BZ-79,,,XI,BZ-79,,2435,690,17.00s,260,1150,0.42,2.80s,0.13 / 0.20 / 0.20,-8° / +20°,30 / 15,30°/s,850,13.14,64.7t,2740,390
M4A1 FL 10,,,VI,M4A1 FL 10,,1394,135,18.00s,148,925,0.38,2.00s,0.18 / 0.21 / 0.21,-6° / +12°,48 / 20,43°/s,530,17.70,30t,810,370
Vz. 68 Squall,,,VI,Squall,,2034,8,20.00s,182,750,0.40,2.20s,0.08 / 0.12 / 0.12,-6° / +20°,55 / 21,45°/s,570,27.50,20.7t,1100,380
T-54,,,IX,T-54,,2783,320,6.90s,236,1120,0.35,2.10s,0.12 / 0.11 / 0.11,-6° / +20°,56 / 20,56°/s,750,21.63,34.7t,1800,390
AMX AC mle. 48,,,VIII,AMX AC 48,,1846,400,34.00s,257,1067,0.36,2.60s,0.10 / 0.17 / 0.17,-6° / +18°,50 / 15,44°/s,930,18.50,50.3t,1300,370
TS-60,,,IX,TS-60,,2791,400,8.60s,258,1150,0.40,1.70s,0.06 / 0.25 / 0.25,-7° / +20°,35 / 12,28°/s,800,14.62,54.7t,1900,380
G.W. E 100,,,X,E 100,,2250,750,20.00s,246,757,0.40,2.70s,0.10 / 0.21 / 0.21,-7° / +20°,30 / 15,22°/s,1200,9.26,129.6t,2700,400
T34 B,,,X,T-34,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
Archer,,,V,Archer,,1915,150,4.70s,171,884,0.36,2.30s,0.10 / 0.24 / 0.24,-7.5° / +15°,12 / 32,46°/s,192,11.99,16t,470,360
WZ-111-1G FT,,,X,WZ-113G FT,,2727,750,16.50s,290,960,0.36,2.50s,0.06 / 0.19 / 0.19,-6° / +15°,40 / 16,30°/s,830,15.17,54.7t,2100,390
P.44 Pantera,,,VII,Panther,,2025,135,4.00s,198,945,0.30,1.90s,0.10 / 0.18 / 0.18,-8° / +20°,55 / 20,36°/s,780,17.48,44.6t,1400,380
KPz 3 Projekt 07 HK,No data
T67,,,V,T67,,1865,115,3.70s,128,792,0.41,2.30s,0.08 / 0.24 / 0.24,-10° / +20°,61 / 15,32°/s,380,26.21,14.5t,470,320
D1,,,V,T67,,2839,440,9.30s,284,1400,0.32,1.60s,0.10 / 0.19 / 0.19,-9° / +20°,65 / 23,48°/s,900,21.08,42.7t,1950,410
SU-76G FT,,,V,60G FT,,2105,200,5.70s,145,793,0.38,1.70s,0.08 / 0.22 / 0.22,-8° / +25°,45 / 18,42°/s,450,17.48,25.8t,520,340
AMX M4 mle. 49 Liberté,,,V,AMX M4 54,,2400,560,14.00s,250,960,0.36,2.50s,0.14 / 0.16 / 0.16,-8° / +15°,35 / 15,28°/s,1200,15.06,79.7t,2200,390
Strv m/40L,,,IX,Strv K,,1950,390,12.00s,252,1080,0.34,2.50s,0.15 / 0.19 / 0.19,-10° / +18°,40 / 18,30°/s,670,16.49,40.6t,1850,400
Pz.Kpfw. KW I (r),No data
Hirschkäfer,,,XI,Hirschkäfer,,2791,600,12.90s,290,1250,0.28,1.40s,0.30 / 0.22 / 0.22,-7° / +15°,60 / 15,26°/s,830,20.91,39.7t,1900,380
Somua S35,,,VIII,Somua SM,,1957,300,37.00s,232,1000,0.40,2.40s,0.14 / 0.20 / 0.20,-10° / +15°,37 / 20,32°/s,700,12.57,55.7t,1450,370
14TP,,,IV,14TP,,1579,50,6.40s,75,829,0.39,2.40s,0.16 / 0.22 / 0.22,-8° / +20°,55 / 20,52°/s,300,20.80,14.4t,550,330
AMX M4 mle. 45,,,X,AMX M4 54,,2400,560,14.00s,250,960,0.36,2.50s,0.14 / 0.16 / 0.16,-8° / +15°,35 / 15,28°/s,1200,15.06,79.7t,2200,390
E 50,,,X,E 50 M,,2543,390,9.20s,270,1500,0.30,2.10s,0.08 / 0.14 / 0.14,-8° / +20°,60 / 20,44°/s,1300,20.96,62t,2050,400
TS-5,,,VIII,TS-5,,2824,400,8.50s,248,860,0.44,1.80s,0.06 / 0.16 / 0.16,-5° / +20°,26 / 12,24°/s,750,12.56,59.7t,1500,370
Achilles,,,VI,Achilles,,2143,150,4.20s,171,884,0.32,1.70s,0.12 / 0.22 / 0.24,-5° / +20°,48 / 13,42°/s,550,19.62,28t,720,370
Carro d'assalto P.88,No data
112 FL,,,VIII,112,,1857,390,12.60s,196,800,0.44,3.00s,0.12 / 0.23 / 0.23,-6° / +17°,45 / 15,26°/s,580,12.68,45.7t,1500,380
LT vz. 35,,,X,Vz. 55,,2650,530,12.00s,260,980,0.35,2.00s,0.08 / 0.16 / 0.16,-8° / +15°,50 / 15,30°/s,850,15.57,54.6t,2100,390
AT 15A,,,VIII,AT 15,,2800,280,6.00s,220,878,0.30,1.70s,0.10 / 0.18 / 0.18,-10° / +10°,25 / 12,28°/s,720,11.64,61.8t,1500,370
ARL V39,,,VI,ARL V39,,2057,240,7.00s,212,1000,0.36,2.00s,0.14 / 0.18 / 0.18,-6° / +18°,45 / 12,34°/s,500,18.83,26.6t,700,350
IS-5 (Object 730),,,IX,Obj. 430,,2412,390,9.70s,238,880,0.42,2.50s,0.12 / 0.16 / 0.16,-5° / +16.2°,50 / 18,60°/s,520,14.95,34.8t,1800,390
M4A1 Revalorisé,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
Leo,,,XI,Leopard 120,,2839,440,9.30s,284,1400,0.32,1.60s,0.10 / 0.19 / 0.19,-9° / +20°,65 / 23,48°/s,900,21.08,42.7t,1950,410
Churchill I,,,V,Churchill I,,2045,75,2.20s,110,892,0.37,1.70s,0.08 / 0.18 / 0.18,-9° / +20°,25.7 / 14,28°/s,380,9.59,39.6t,920,350
"Panther mit 8,8 cm L/71",,,VIII,JPanther II,,2513,490,11.70s,246,920,0.35,2.30s,0.08 / 0.18 / 0.18,-6.5° / +15°,55 / 12,38°/s,700,13.25,52.8t,1150,360
AMX ELC bis,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
53TP Markowskiego,,,VIII,53TP,,1984,420,12.70s,218,950,0.38,2.70s,0.10 / 0.18 / 0.18,-8° / +20°,40 / 16,32°/s,800,14.02,57.1t,1600,370
Type 3 Ho-Ni III,,,X,Type 5 H,,2246,700,18.70s,257,850,0.40,2.70s,0.14 / 0.16 / 0.16,-10° / +20°,25 / 15,20°/s,1370,9.08,150.8t,2900,400
Marder 38T,,,IV,Marder 38T,,1737,110,3.80s,108,790,0.35,1.70s,0.08 / 0.28 / 0.28,-9° / +9°,47 / 18,42°/s,180,17.05,10.6t,415,320
King Tiger (Captured),,,VII,Tiger I,,2154,280,7.80s,203,1000,0.34,2.50s,0.12 / 0.20 / 0.20,-7° / +13°,40 / 12,29°/s,760,13.26,57.3t,1550,380
Chieftain/T95,,,X,Chieftain,,2909,400,8.25s,270,1372,0.32,1.50s,0.10 / 0.12 / 0.12,-10° / +20°,42 / 15,40°/s,750,13.71,54.7t,2200,390
50TP Tyszkiewicza,,,IX,50TP,,2100,560,16.00s,250,900,0.40,3.00s,0.16 / 0.19 / 0.19,-8° / +20°,35 / 14,26°/s,650,13.08,49.7t,2100,380
Semovente M43 Bassotto,,,IX,Bassotto,,2019,360,10.70s,175,900,0.40,2.70s,0.12 / 0.23 / 0.23,-5° / +15°,35 / 15,46°/s,300,19.32,15.5t,600,360
Löwe,,,VI,Edelweiss,,1920,240,7.50s,195,850,0.38,2.30s,0.12 / 0.14 / 0.14,-8° / +15°,60 / 20,42°/s,800,25.22,31.7t,1400,390
Pz.Kpfw. IV Ausf. F2,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
M4 Improved,,,VIII,M47 Improv.,,1699,320,11.30s,230,1080,0.44,3.00s,0.08 / 0.12 / 0.12,-10° / +20°,40 / 15,32°/s,800,17.06,46.9t,1300,390
Škoda T 25,,,IX,Škoda T 50,,2251,320,22.00s,248,1400,0.35,2.20s,0.10 / 0.18 / 0.18,-8° / +20°,50 / 20,58°/s,1070,28.08,38.1t,1700,400
Strv m/42-57 Alt A.2,,,IX,Strv K,,1950,390,12.00s,252,1080,0.34,2.50s,0.15 / 0.19 / 0.19,-10° / +18°,40 / 18,30°/s,670,16.49,40.6t,1850,400
Object 705,,,IX,Obj. 704,,2632,750,17.10s,286,880,0.36,2.70s,0.08 / 0.19 / 0.19,-6° / +18°,40 / 14,28°/s,800,16.53,48.4t,1600,360
TVP VTU Koncept,,,VIII,TVP VTU,,1511,240,25.00s,210,1020,0.36,2.20s,0.10 / 0.20 / 0.20,-8° / +20°,50 / 20,53°/s,770,21.83,35.3t,1550,380
T-54 first prototype,,,IX,T-54,,2783,320,6.90s,236,1120,0.35,2.10s,0.12 / 0.11 / 0.11,-6° / +20°,56 / 20,56°/s,750,21.63,34.7t,1800,390
FCM 50 t,,,VIII,FCM 50 t,,2483,240,5.80s,212,1000,0.36,2.00s,0.08 / 0.16 / 0.16,-10° / +17°,51 / 20,40°/s,1250,23.17,53.9t,1500,400
T110E4,,,X,T110E5,,2727,400,8.80s,258,1067,0.35,2.00s,0.06 / 0.14 / 0.14,-8° / +15°,37 / 12,30°/s,875,16.37,53.5t,2200,400
FV1066 Senlac,,,X,Senlac,,1964,180,5.50s,189,1020,0.35,1.80s,0.10 / 0.12 / 0.12,-10° / +14°,65 / 23,45°/s,710,35.63,19.9t,1050,410
T14,,,V,T1,,1917,115,3.60s,128,792,0.43,2.00s,0.12 / 0.22 / 0.22,-10° / +30°,35 / 14,36°/s,900,15.42,58.4t,910,350
KV-4,,,V,KV-4 KTTS,,2571,360,8.40s,227,1043,0.36,2.50s,0.12 / 0.22 / 0.22,-5° / +20°,35 / 10,24°/s,1200,12.03,99.7t,1400,350
FCM 36,,,III,FCM36Pak40,,1751,110,3.77s,98,790,0.37,1.50s,0.10 / 0.25 / 0.25,-8° / +17°,24 / 10,37°/s,91,6.67,13.6t,320,400
B.U.G.I.,,,VI,B.U.G.I.,,1655,240,8.70s,156,950,0.42,2.60s,0.14 / 0.22 / 0.22,-8° / +20°,55 / 11,34°/s,700,17.86,39.2t,920,350
UDES 14 Alt 5,,,IX,UDES 16,,2294,390,10.20s,234,1300,0.36,2.20s,0.10 / 0.16 / 0.07,-5° / +15°,50 / 20,46°/s,590,21.30,27.7t,1700,390
E 50 Ausf. M,,,X,E 50 M,,2543,390,9.20s,270,1500,0.30,2.10s,0.08 / 0.14 / 0.14,-8° / +20°,60 / 20,44°/s,1300,20.96,62t,2050,400
Super Hellcat,,,VII,Super Hellcat,,1800,240,8.00s,167,853,0.35,1.70s,0.16 / 0.23 / 0.23,-10° / +17°,72 / 20,34°/s,460,23.88,19.3t,800,370
Renault FT 75 BS,,,I,FT,,939,8,5.80s,23,800,0.52,1.60s,0.10 / 0.33 / 0.33,-10° / +35°,21 / 8,60°/s,50,10.90,4.6t,250,300
Type 4 Heavy,,,X,Type 5 H,,2246,700,18.70s,257,850,0.40,2.70s,0.14 / 0.16 / 0.16,-10° / +20°,25 / 15,20°/s,1370,9.08,150.8t,2900,400
Controcarro 3 Minotauro,,,X,Minotauro,,2839,530,24.00s,265,1303,0.44,2.30s,0.04 / 0.15 / 0.15,-10° / +20°,30 / 12,30°/s,780,13.64,57.2t,2000,390
Object 703 Version II,,,IX,Obj. 704,,2632,750,17.10s,286,880,0.36,2.70s,0.08 / 0.19 / 0.19,-6° / +18°,40 / 14,28°/s,800,16.53,48.4t,1600,360
59-Patton,,,VIII,59-Patton,,2240,280,7.50s,212,914,0.36,1.70s,0.06 / 0.14 / 0.14,-9° / +19°,50 / 20,46°/s,620,17.18,36.1t,1400,400
TVP T 50/51,,,X,TVP T 50/51,,2603,320,25.00s,248,1400,0.35,2.10s,0.10 / 0.18 / 0.18,-8° / +20°,60 / 20,54°/s,1120,28.21,39.7t,1850,410
50TP Resilient,,,IX,50TP,,2100,560,16.00s,250,900,0.40,3.00s,0.16 / 0.19 / 0.19,-8° / +20°,35 / 14,26°/s,650,13.08,49.7t,2100,380
Pz.Kpfw. IV Ausf. H Ankou,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
Ikv 65 Alt II,,,IX,LTC II,,2069,200,40.00s,223,1300,0.37,2.00s,0.08 / 0.10 / 0.10,-10° / +20°,65 / 24,50°/s,680,35.37,19.2t,1500,400
T-54 ltwt.,,,IX,T-54,,2783,320,6.90s,236,1120,0.35,2.10s,0.12 / 0.11 / 0.11,-6° / +20°,56 / 20,56°/s,750,21.63,34.7t,1800,390
M4A3E2 Sherman Jumbo,,,V,M4 Sherman,,2733,410,9.00s,53,472,0.55,2.50s,0.16 / 0.18 / 0.18,-12° / +25°,48 / 18,50°/s,500,16.20,30.9t,650,370
Matilda,,,V,Matilda BP,,1957,75,2.30s,110,892,0.41,2.30s,0.08 / 0.18 / 0.18,-12.5° / +20°,22 / 10,35°/s,190,6.38,29.8t,800,350
Mars,,,VIII,Mars,,2000,240,7.20s,212,929,0.33,2.10s,0.10 / 0.16 / 0.16,-9° / +20°,55 / 20,46°/s,652,18.78,34.7t,1400,390
Renault NC-31,,,I,NC-31,,939,36,2.30s,40,750,0.46,2.00s,0.14 / 0.38 / 0.38,-6° / +35°,25 / 8,60°/s,85,13.30,6.4t,240,280
Durchbruchswagen 2,,,IV,Luchs,,923,30,18.00s,95,940,0.50,2.20s,0.18 / 0.22 / 0.22,-10° / +20°,60 / 22,33°/s,400,31.57,12.7t,520,360
Škoda T 50,,,IX,Škoda T 50,,2251,320,22.00s,248,1400,0.35,2.20s,0.10 / 0.18 / 0.18,-8° / +20°,50 / 20,58°/s,1070,28.08,38.1t,1700,400
T26E4 SuperPershing,,,VIII,Pershing,,2211,280,7.60s,212,975,0.34,2.00s,0.10 / 0.12 / 0.12,-10° / +20°,48 / 20,50°/s,770,18.05,42.6t,1600,400
Coccodrillo,,,X,Coccodrillo,,2350,470,12.00s,263,1310,0.35,2.70s,0.10 / 0.16 / 0.16,-8° / +20°,50 / 18,50°/s,950,18.38,51.7t,1800,400
T-50-2,,,V,T-50,,1826,70,2.30s,90,870,0.40,2.00s,0.10 / 0.16 / 0.16,-7° / +25°,60 / 23,48°/s,400,28.96,13.8t,550,350
T69,,,V,T69,,1920,240,24.00s,212,914,0.38,2.50s,0.16 / 0.20 / 0.20,-9° / +14°,51.5 / 20,53°/s,600,17.51,34.3t,1500,400
TNH 105/1000,,,VIII,TNH 105/1000,,2097,360,10.30s,224,930,0.35,2.30s,0.10 / 0.20 / 0.20,-7° / +15°,50 / 15,30°/s,750,15.72,47.7t,1650,370
Strv S1 FL,,,VIII,Strv S1,,2294,390,10.20s,288,1450,0.40,3.00s,0.10 / 0.40 / 0.10,-1° / +1°,50 / 45,26°/s,540,16.50,32.7t,1000,350
T-44-100,,,VIII,T-44-100,,2308,250,6.50s,210,880,0.35,2.00s,0.08 / 0.10 / 0.10,-7° / +23°,52 / 23,51°/s,760,22.87,33.2t,1350,380
Sentinelle,,,IX,Sentinelle,,1702,390,25.00s,261,1040,0.35,2.30s,0.08 / 0.17 / 0.17,-8° / +20°,45 / 15,35°/s,1050,17.59,59.7t,1800,390
Strv 103B,,,X,Strv 103B,,3343,390,7.00s,308,1500,0.30,3.00s,0.00 / 0.40 / 0.10,-1° / +1°,50 / 45,35°/s,900,22.50,40t,1800,360
Turán III prototípus,,,V,Turán III PT,,1650,110,4.00s,113,770,0.39,2.20s,0.12 / 0.22 / 0.22,-10° / +25°,40 / 20,34°/s,260,13.16,19.8t,750,330
AMX 13 105,,,X,AMX 13 105,,2163,390,27.00s,234,1000,0.42,2.30s,0.12 / 0.15 / 0.15,-8° / +12°,68 / 22,40°/s,600,38.22,15.7t,1600,390
SDP 60 Gonkiewicza,,,IX,Gonkiewicza,,3200,800,15.00s,292,1700,0.38,2.70s,0.08 / 0.21 / 0.21,-7° / +15°,42 / 15,30°/s,780,15.69,49.7t,1800,360
KV-4 Turchaninov,,,VIII,KV-4 Turch.,,2118,300,8.50s,225,1043,0.42,2.30s,0.10 / 0.20 / 0.20,-6° / +20°,30 / 12,22°/s,1140,12.71,89.7t,1600,350
Progetto M35 mod. 46,,,X,Progetto 65,,2160,360,10.00s,268,1468,0.35,2.20s,0.12 / 0.15 / 0.15,-9° / +20°,65 / 20,54°/s,750,18.89,39.7t,1900,400
Windhund,,,VIII,Windhund,,2430,320,7.90s,271,1100,0.38,2.50s,0.10 / 0.30 / 0.20,-1° / +0°,50 / 30,44°/s,700,22.06,31.7t,1300,350
Type 59 First Warrior,,,IV,Type 95,,2000,110,3.30s,71,453,0.40,2.30s,0.10 / 0.18 / 0.18,-12° / +20°,22 / 10,30°/s,290,10.01,29t,670,340
S-51,,,IV,S-51,,1033,900,52.30s,52,425,0.83,6.30s,0.55 / 0.28 / 0.28,-1.5° / +58°,30 / 8,20°/s,600,12.13,49.5t,350,275
Bofors Tornvagn,,,VIII,Tornvagn,,1600,400,15.00s,248,1000,0.40,2.30s,0.20 / 0.14 / 0.14,-10° / +20°,35 / 12,25°/s,500,11.70,42.7t,1600,370
MKA,,,V,Zadymka,,1800,240,8.00s,150,950,0.38,2.20s,0.10 / 0.22 / 0.22,-7° / +15°,50 / 14,35°/s,460,15.46,29.8t,500,280
T3E2 Medium Tank,,,III,M2 Medium,,2283,175,4.60s,38,620,0.55,2.30s,0.16 / 0.23 / 0.23,-20° / +40°,43 / 18,40°/s,400,19.31,20.7t,375,370
FV4201 Chieftain Proto,,,X,Chieftain,,2909,400,8.25s,270,1372,0.32,1.50s,0.10 / 0.12 / 0.12,-10° / +20°,42 / 15,40°/s,750,13.71,54.7t,2200,390
Panzer 58 Mutz,,,VIII,Pz. 58 Mutz,,2250,300,8.00s,212,1150,0.34,2.30s,0.10 / 0.18 / 0.18,-10° / +25°,55 / 20,45°/s,700,20.10,34.8t,1350,390
Hotchkiss EBR,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
NC 70 Błyskawica,,,X,Błyskawica,,3504,800,13.70s,292,1700,0.35,2.50s,0.08 / 0.18 / 0.18,-7° / +15°,45 / 15,30°/s,900,16.45,54.7t,2000,370
G.W. Tiger (P),,,VII,Tiger I,,2154,280,7.80s,203,1000,0.34,2.50s,0.12 / 0.20 / 0.20,-7° / +13°,40 / 12,29°/s,760,13.26,57.3t,1550,380
Stinger,,,X,Stinger,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
GSOR 1006 Scheme 7,,,X,E 100,,2250,750,20.00s,246,757,0.40,2.70s,0.10 / 0.21 / 0.21,-7° / +20°,30 / 15,22°/s,1200,9.26,129.6t,2700,400
A43 BP prototype,,,VIII,T28 Prototype,,2449,400,9.80s,248,945,0.38,2.10s,0.12 / 0.20 / 0.20,-10° / +15°,32 / 12,24°/s,830,12.56,66.1t,1400,380
STG Guard,,,VIII,STG,,1800,390,13.00s,212,880,0.33,2.50s,0.12 / 0.20 / 0.20,-6° / +17°,50 / 20,45°/s,450,16.23,27.7t,1350,370
T37,,,VIII,T37,,1829,125,4.10s,145,975,0.38,1.70s,0.08 / 0.12 / 0.12,-9° / +20°,65 / 22,57°/s,610,26.37,23.1t,800,380
Škoda T 15A,,,VIII,AT 15,,2800,280,6.00s,220,878,0.30,1.70s,0.10 / 0.18 / 0.18,-10° / +10°,25 / 12,28°/s,720,11.64,61.8t,1500,370
KV-1,,,VI,KV-1S,,2455,450,11.00s,61,515,0.48,2.90s,0.14 / 0.20 / 0.20,-5° / +20°,43 / 14,38°/s,660,15.04,43.9t,1150,340
Pz.Kpfw. II Ausf. D,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
Udarniy,,,VIII,Udarniy,,1950,390,12.00s,221,1100,0.42,3.10s,0.08 / 0.24 / 0.24,-6° / +16°,45 / 12,27°/s,900,13.90,64.7t,1600,360
T54 Heavy Tank,,,X,T57 Heavy,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
ARL 44,,,VI,ARL 44,,1440,240,10.00s,212,1000,0.38,3.40s,0.20 / 0.24 / 0.24,-10° / +15°,37 / 10,29°/s,830,17.69,46.9t,1000,350
Renault R35,,,II,R35,,923,40,2.60s,34,705,0.48,2.00s,0.16 / 0.30 / 0.30,-16° / +20°,23 / 12,34°/s,82,7.90,10.4t,310,300
Strv m/31,,,IX,Strv K,,1950,390,12.00s,252,1080,0.34,2.50s,0.15 / 0.19 / 0.19,-10° / +18°,40 / 18,30°/s,670,16.49,40.6t,1850,400
